04/06/2025 07:52:01:965 --> 07:52:01	 Connection error: TCP : Connection Error
04/06/2025 07:54:55:699 --> 07:54:55Connect => IP:192.168.0.2, rack:0, slot:1 
04/06/2025 07:55:17:973 --> 07:55:17	Connect => IP:192.168.0.2, rack:0, slot:1 
04/06/2025 08:58:29:124 --> 08:58:29	Connect => IP:192.168.0.2, rack:0, slot:1 
04/06/2025 08:58:31:366 --> 08:58:31	 Connection error: TCP : Connection Error
04/06/2025 09:00:02:340 --> 09:00:02	Connect => IP:192.168.0.2, rack:0, slot:1 
04/06/2025 09:00:04:582 --> 09:00:04	 Connection error: TCP : Connection Error
22/07/2025 09:30:34:787 --> 09:30:34	Connect => IP:192.168.0.2
22/07/2025 09:30:34:790 --> 09:30:34	Connect => IP:192.168.0.2
22/07/2025 09:33:24:673 --> 09:33:24	Connect => IP:192.168.0.2
22/07/2025 09:33:24:676 --> 09:33:24	Connect => IP:192.168.0.2
22/07/2025 09:35:16:438 --> 09:35:16	Connect => IP:192.168.0.2
22/07/2025 09:35:16:442 --> 09:35:16	Connect => IP:192.168.0.2
08/09/2025 11:20:58:871 --> 11:20:58	Attiva Service
08/09/2025 11:20:59:196 --> 11:20:59	 Connection error: An error occurred trying to start process '\' with working directory 'C:\Work\EasyHMI\DriverXNet\SimpleHmi\bin\Debug\net8.0-windows'. Accesso negato.
08/09/2025 11:38:23:864 --> 11:38:23	Attiva Service
08/09/2025 11:38:24:156 --> 11:38:24	 Connection error: An error occurred trying to start process '\' with working directory 'C:\Work\EasyHMI\DriverXNet\SimpleHmi\bin\Debug\net8.0-windows'. Accesso negato.
08/09/2025 11:53:58:887 --> 11:53:58	Attiva Service
08/09/2025 11:53:59:440 --> 11:53:59	 Connection error: An error occurred trying to start process '\' with working directory 'C:\Work\EasyHMI\DriverXNet\SimpleHmi\bin\Debug\net8.0-windows'. Accesso negato.
08/09/2025 15:05:37:550 --> 15:05:37	Attiva Service
08/09/2025 15:05:37:984 --> 15:05:37	 Connection error: An error occurred trying to start process '\' with working directory 'C:\Work\EasyHMI\DriverXNet\SimpleHmi\bin\Debug\net8.0-windows'. Accesso negato.
08/09/2025 15:10:04:701 --> 15:10:04	Attiva Service
08/09/2025 15:10:05:018 --> 15:10:05	 Connection error: An error occurred trying to start process '\' with working directory 'C:\Work\EasyHMI\DriverXNet\SimpleHmi\bin\Debug\net8.0-windows'. Accesso negato.
08/09/2025 15:14:08:241 --> 15:14:08	Attiva Service
08/09/2025 15:14:08:640 --> 15:14:08	 Connection error: An error occurred trying to start process '\' with working directory 'C:\Work\EasyHMI\DriverXNet\SimpleHmi\bin\Debug\net8.0-windows'. Accesso negato.
08/09/2025 15:14:23:276 --> 15:14:23	Attiva Service
08/09/2025 15:14:23:611 --> 15:14:23	 Connection error: An error occurred trying to start process '\' with working directory 'C:\Work\EasyHMI\DriverXNet\SimpleHmi\bin\Debug\net8.0-windows'. Accesso negato.
08/09/2025 15:19:03:956 --> 15:19:03	Attiva Service
08/09/2025 15:19:04:318 --> 15:19:04	 Connection error: An error occurred trying to start process '\' with working directory 'C:\Work\EasyHMI\DriverXNet\SimpleHmi\bin\Debug\net8.0-windows'. Accesso negato.
08/09/2025 15:24:53:072 --> 15:24:53	Attiva Service
08/09/2025 15:24:53:378 --> 15:24:53	 Connection error: An error occurred trying to start process '\' with working directory 'C:\Work\EasyHMI\DriverXNet\SimpleHmi\bin\Debug\net8.0-windows'. Accesso negato.
08/09/2025 15:27:30:377 --> 15:27:30	Attiva Service
